calculated_host_listings_count,room_type_n,neighbourhood_group_n,price
0.8000000000000002,0.0,0.6666666666666666,50
0.0,0.0,0.0,110
0.0,0.0,0.0,150
0.0,0.0,0.9999999999999999,55
0.8000000000000002,0.0,0.0,120
0.0,0.0,0.0,55
0.0,0.0,0.0,190
1.0,0.0,0.0,190
0.0,0.0,0.0,69
0.0,0.0,0.0,295
0.4,0.0,0.0,47
1.0,0.0,0.0,333
1.0,0.0,0.0,153
0.4,0.0,0.0,79
1.0,0.0,0.0,40
0.0,0.0,0.0,55
0.4,0.0,0.6666666666666666,80
0.4,0.0,0.0,65
0.0,0.0,0.0,300
0.0,0.0,0.0,160
0.0,0.0,0.0,32
0.0,0.0,0.0,70
1.0,0.0,0.0,69
1.0,0.0,0.0,1500
0.4,0.0,0.0,50
0.0,0.0,0.0,155
1.0,0.0,0.0,75
1.0,0.0,0.6666666666666666,58
0.0,0.0,0.0,90
0.0,0.0,0.0,275
0.0,0.0,0.0,60
0.0,0.0,0.0,130
0.0,0.0,0.0,100
0.4,0.0,0.0,85
1.0,0.0,0.0,63
1.0,0.0,0.0,131
0.0,0.0,0.0,180
1.0,0.0,0.0,60
0.0,0.0,0.0,275
0.0,0.0,0.0,90
1.0,0.0,0.0,50
1.0,0.0,0.9999999999999999,42
1.0,0.0,0.0,109
0.0,0.0,0.0,245
0.0,0.0,0.6666666666666666,110
0.4,0.0,0.0,140
0.0,0.0,0.0,300
0.0,0.0,0.0,180
0.4,0.0,0.0,70
0.4,0.0,0.0,85
1.0,1.0,0.0,29
0.8000000000000002,0.0,0.0,120
0.0,0.0,0.0,165
0.0,0.0,0.0,47
0.4,0.0,0.6666666666666666,56
0.0,0.0,0.0,35
0.0,0.0,0.0,60
0.0,0.0,0.9999999999999999,84
0.4,0.0,0.0,225
0.0,0.0,0.0,55
0.8000000000000002,0.0,0.0,45
0.0,0.0,0.0,50
0.0,0.0,0.0,99
0.0,0.0,0.0,250
0.0,0.0,0.0,220
0.8000000000000002,0.0,0.0,82
0.0,0.0,0.0,100
0.4,0.0,0.0,175
0.0,0.0,0.0,104
